occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
1.0,0.172,0.172,0.0,0.0,0.0,0.0,0.395,0.556,0.556,0.0,0.0,0.0775,0,0
0.8,0.129,0.129,0.0,0.0,0.0,0.0,0.338,0.53,0.53,0.0,0.0,0.0775,0,0
0.8,0.129,0.129,0.0,0.0,0.0,0.0,0.338,0.53,0.53,0.0,0.0,0.0,0,0
0.8,0.209,0.209,0.0,0.0,0.0,0.0,0.418,0.594,0.594,0.0,0.0,0.267,0,0
0.8,0.209,0.209,0.0,0.0,0.0,0.0,0.418,0.594,0.594,0.0,0.0,0.0,0,0
0.8,0.306,0.306,0.0,0.0,0.0,0.0,0.388,0.669,0.669,0.0,0.0,0.0,0,0
0.8,0.306,0.306,0.0,0.0,0.0,0.0,0.388,0.669,0.669,0.0,0.0,0.0833,0,0
0.8,0.306,0.306,0.0,0.0,0.0,0.0,0.388,0.669,0.669,0.0,0.0,0.0833,0,0
0.6,0.221,0.221,0.0,0.0,0.0,0.0,0.345,0.601,0.601,0.0,0.0,0.0,0,0
0.6,0.226,0.226,0.0,0.0,0.0,0.0,0.283,0.601,0.601,0.0,0.0,0.0,0,0
0.6,0.226,0.226,0.0,0.0,0.0,0.0,0.283,0.601,0.601,0.0,0.0,0.0,0,0
0.6,0.226,0.226,0.0,0.0,0.0,0.0,0.283,0.601,0.601,0.0,0.0,0.0,0,0
0.6,0.226,0.226,0.0,0.0,0.0,0.0,0.283,0.601,0.601,0.0,0.0,0.0,0,0
0.6,0.221,0.221,0.0,0.0,0.0,0.0,0.289,0.601,0.601,0.0,0.0,0.0,0,0
0.6,0.221,0.221,0.0,0.0,0.0,0.0,0.289,0.601,0.601,0.0,0.0,0.0773,0,0
0.6,0.221,0.221,0.0,0.0,0.0,0.0,0.289,0.601,0.601,0.0,0.0,0.155,0,0
0.6,0.221,0.221,0.0,0.0,0.0,0.0,0.289,0.601,0.601,0.0,0.0,0.0773,0,0
0.6,0.295,0.295,0.4,0.0,0.0,0.0,0.313,0.681,0.681,0.0,0.0,0.0,0,0
0.6,0.295,0.295,1.0,0.0,0.0,0.0,0.313,0.681,0.681,0.0,0.0,0.0,0,0
0.6,0.295,0.295,1.0,0.0,0.0,0.0,0.313,0.681,0.681,0.0,0.0,0.0,0,0
0.6,0.295,0.295,0.667,0.0,0.0,0.0,0.313,0.681,0.681,0.0,0.0,0.155,0,0
0.6,0.287,0.287,0.0,0.0,0.0,0.0,0.304,0.692,0.692,0.0,0.0,0.0773,0,0
0.6,0.287,0.287,0.0,0.0,0.0,0.0,0.304,0.692,0.692,0.0,0.0,0.387,0,0
0.6,0.287,0.287,0.0,0.0,0.0,0.0,0.304,0.692,0.692,0.0,0.0,0.387,0,0
0.6,0.287,0.287,0.0,0.0,0.0,0.0,0.304,0.692,0.692,0.0,0.0,0.0773,0,0
0.6,0.285,0.285,0.0,0.0,0.0,0.0,0.338,0.692,0.692,0.0,0.0,0.0773,0,0
0.6,0.285,0.285,0.0,0.0,0.0,0.0,0.338,0.692,0.692,0.0,0.0,0.232,0,0
0.6,0.285,0.285,0.0,0.0,0.0,0.0,0.338,0.692,0.692,0.0,0.0,0.0,0,0
0.6,0.285,0.285,0.0,0.0,0.0,0.0,0.338,0.692,0.692,0.0,0.0,0.0,0,0
0.4,0.209,0.209,0.0,0.0,0.0,0.0,0.328,0.609,0.609,0.0,0.0,0.0773,0,0
0.6,0.289,0.289,0.0,0.0,0.0,0.0,0.363,0.681,0.681,0.0,0.0,0.0773,0,0
0.4,0.209,0.209,0.0,0.0,0.0,0.0,0.328,0.609,0.609,0.0,0.0,0.309,0,0
0.4,0.209,0.209,0.0,0.0,0.0,0.0,0.328,0.609,0.609,0.0,0.0,0.0,0,0
0.4,0.225,0.225,0.0,0.0,0.0,0.0,0.334,0.624,0.624,0.0,0.0,0.0773,0,0
0.4,0.225,0.225,0.0,0.0,0.0,0.0,0.334,0.624,0.624,0.0,0.0,0.0,0,0
0.4,0.225,0.225,0.0,0.0,0.0,0.0,0.334,0.624,0.624,0.0,0.0,0.0,0,0
0.4,0.225,0.225,0.0,0.0,0.0,0.0,0.334,0.624,0.624,0.0,0.0,0.0,0,0
0.4,0.269,0.269,0.0,0.0,0.0,0.0,0.373,0.639,0.639,0.0,0.0,0.0773,0,0
0.4,0.269,0.269,0.0,0.0,0.0,0.0,0.373,0.639,0.639,0.0,0.0,0.0,0,0
0.4,0.269,0.269,0.0,0.0,0.0,0.0,0.373,0.639,0.639,0.0,0.0,0.0773,0,0
0.4,0.269,0.269,0.0,0.0,0.0,0.0,0.373,0.639,0.639,0.0,0.0,0.0773,0,0
0.4,0.347,0.347,0.0,0.0,0.0,0.0,0.451,0.669,0.669,0.0,0.0,0.232,0,0
0.4,0.347,0.347,0.0,0.0,0.0,0.0,0.451,0.669,0.669,0.0,0.0,0.0773,0,0
0.4,0.347,0.347,0.0,0.0,0.0,0.0,0.451,0.669,0.669,0.0,0.0,0.232,0,0
